,Store sal (3. sal),Lille sal (Stuen),Mødelokale (2. sal),Mødelokale (Stuen),Biblioteket,Cafe
Fredag,,,,,,
15-16,,,,,,Doors open
16:00 (240),,,,,,Meet 'n' greet
17-18,,,,,,
Lørdag,,,,,,
09-10,Doors open,,,,,
10-11,Welcome and presentation of our guests of honour,,,,,
11-12,The Arthurian Myths,"Science Fiction i Romancer og Romancer i Science Fiction
",,Møde mellem fans - mød en ny ven,,
11-11:30,,,,,Jasmin Hansen og Knud Larn i samtale om Jasmin Hansens novellesamling BREVET,
11:30-12,,,,,Redaktør og oversætter Niels Dalgaard om antologien UKENDTE KRÆFTER,
12-13,Interview with Eugenia Triantafyllou,Hvorfor ♥️ vi Tamora Pierce?,,,,
12-12:30,,,,,,
13-14,Worldbuilding in short fiction,Vølvens Vej - Interview med Anne-Marie Vedsø Olsen, ,,,
14-15,"Octavia E. Butler: Love, Power, Sex, and Addiction",Vi🫀Horror,,Kaffeeklatsch with Chris Beckett,"Redaktør Rene Roar Thygesen og udvalgte forfattere fra Årsantologien PLANLAGT FORÆLDELSE samtaler om noveller, skrivning, konkurrencer, etc.",
15-16,Interview with Sarah Pinsker,At oversætte Fantatisk litteratur,Speeddate en bog,,,
16-17,Auction,We ❤️ Fantasy,,Kaffeeklatsch with Eugenia Triantafyllou,,
16-16:30,,,,,Cato Sture præsenterer sin novellesamling HIGH-PHIDELPHIAS,
17-18:30,"How to Marry A Witch
",Merlin og Monopolet - dilemmaer i fantasyland,,,,
19,Restaurant MOSOB,,,,,
,,,,,,
,,,,,,
Søndag,,,,,,
09-10,Doors open,,,,,
10-11,Hugo Nominees 2026,Adaptations - from one medium to another  ,,,,Quiz
11-12,We ❤️ Science fiction,Chinese fantasy,,,,
12-13,On Writing Romantasy,State of the Union: European Fantastical Litterature,,Kaffeeklatsch with Sarah Pinsker,,
13-14,Interview with Chris Beckett,Lunarpunk,,Workshop: Reading Journals,,
14-15,Gross Love - love in horror,Mundane Science Fiction,,,,
15-16,Ask me anything - with the guests of honour, N. B. - Epik & musik. ,,,,
16-17,Farvel og tak - fra alle os,,,,,
17:00 (240),Dead Dog Party,,,,,
